Name,BACL,BBYS,BCAL,BCIN,BCON,BDEW,BELL,BGAL,BGLO,BHYA,BNAR,BPAE,BPOR,BSIN,BSQU,BTUL,SCEP
OG0001284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OG0001296,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001298,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001299,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001300,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001301,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001302,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001303,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001304,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001307,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001309,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001310,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001311,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001313,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001315,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001317,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001319,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001320,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001321,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001322,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001323,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001324,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001325,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001327,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OG0001328,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001329,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001330,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001334,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001341,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001343,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001344,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001345,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001346,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001347,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001349,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001351,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001352,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001353,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001354,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001355,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001356,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OG0001357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001358,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001359,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001360,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001361,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001362,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001363,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001364,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001365,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001367,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001368,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OG0001369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
